"","Easements","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","BuiltFAR","ResidFAR","CommFAR","FacilFAR","CondoNo","XCoord","YCoord"
"OtherArea",0.960288181983158,0.935746270987843,0.947107139801993,1,0.991846261648763,0.985638846991062,0.989800188899942,0.991027620414446,1,0.991733976092304,1,0.977110499955028,0.900438354940343,0.991114294484231,1,0.907778431595453,0.90739943662224,0.931127448211101,0.948044385181591,0.938587069769229,0.951063030670233,0.942912895512202,0.939415673488777,0.939297288093598,0.942356917056646,0.961557104284492,1,0.917883374524808,0.921573449930163,0.907539468282595,0.986281992705396,0.860910329597184,0.881040003735999
"NumBldgs",0.922623678375577,0.923511254859192,0.874405325367424,0.954211391222647,0.866125458151246,0.981901960828539,0.986415150405814,0.987938441906577,0.973809867595025,0.975689814098575,0.977110499955028,1,0.958463792152669,0.86110552820148,0.868647319699765,0.897180023359447,0.876693811600467,0.831300165860061,0.852287807006757,0.921490446819163,0.885660760329931,0.91644530665124,0.862817126067688,0.828539732146779,0.840552249857004,0.909149169921875,0.89863297940699,0.898155633968406,0.936410499329895,0.878458930589926,0.76283503000738,0.870248924945734,0.874132957778189
"NumFloors",0.961474711016945,0.966729869596452,0.905520914496295,0.858307000966318,0.886789726227936,0.918176529410782,0.967146458952889,1,0.968282340906989,0.972866416176473,0.900438354940343,0.958463792152669,1,0.955761191146903,0.970416158998863,0.866691283902656,0.908637240306162,0.821314167524805,0.797546732007503,0.975260758742901,0.953517018500973,0.976437212067136,0.939847247207236,0.837544068256519,0.980468225224236,0.981696638976532,0.893770741438234,0.947100564819617,0.973270529461813,0.967587678537084,0.788068989114957,0.708087130249672,0.725991905655457
"UnitsRes",0.968077357019723,1,0.89242303563335,0.967925552046209,0.967387068942371,0.988492757743511,0.993749128786269,1,1,1,0.991114294484231,0.86110552820148,0.955761191146903,1,1,0.878488458707083,0.896956338907984,0.918019331246473,0.961285822480359,1,0.899796025039376,1,0.970122356881215,0.879321987046364,0.89199818785415,0.9048386338498,0.867199844847846,0.893864043516816,0.919057542929558,0.930886632514563,0.734642252129493,0.811184668836956,0.835316639463247
"UnitsTotal",0.973398542709495,0.961845501222718,0.919545210704949,0.920895402251658,0.894635664839216,1,0.981381439187732,0.994981307544315,1,1,1,0.868647319699765,0.970416158998863,1,1,0.844943078100754,0.922588340695887,0.78019965388549,0.973857747641757,0.970297027360726,0.962844524011302,0.98656673356407,0.981677421042678,0.981679064805286,0.987296818991612,0.986699717275082,0.970757298052511,0.92867658733225,0.956080434865196,0.955789952848437,0.795233945654386,0.783853180948631,0.778091633445642
"LotFront",0.922773425551901,0.918519992446934,0.907558049976692,0.923674532932732,0.863779893169915,0.923261118515467,0.885609147916123,0.930073793601884,0.905362340488543,0.938834099753954,0.907778431595453,0.897180023359447,0.866691283902656,0.878488458707083,0.844943078100754,1,0.93579583577113,0.871302691953359,0.883349990204816,0.926830020853341,0.929831114972872,0.951119373061772,0.903292391464229,0.893758686371701,0.888518170155067,0.885165668276243,0.84554528264545,0.909741133129887,0.899160850064929,0.90038992375644,0.972540611260965,0.785793969668186,0.785443468297814
"LotDepth",0.898948076850075,0.900097840592979,0.910675584054909,0.907519218321781,0.867324287672495,0.867746255721119,0.872802224834504,0.939351228018465,0.911473721664495,0.931337166658228,0.90739943662224,0.876693811600467,0.908637240306162,0.896956338907984,0.922588340695887,0.93579583577113,1,0.893765255378697,0.907581913198518,0.9053667625486,0.920441284695551,0.908670434945954,0.901109726094852,0.892288912006031,0.853567683980866,0.824125007176193,0.892213562712035,0.919813212992723,0.900164433062117,0.916994260662691,0.891770698364101,0.76747310761327,0.79791131198653
"BldgFront",0.89257466426297,0.888739875955142,0.878663182624798,0.91709549698617,0.933902293188668,0.87497375320678,0.911705419876837,0.913718789999143,0.881073924922352,0.931592930769841,0.931127448211101,0.831300165860061,0.821314167524805,0.918019331246473,0.78019965388549,0.871302691953359,0.893765255378697,1,0.799131909211823,0.90014414651392,0.901474323168305,0.924537843330137,0.914054610095743,0.712326358898697,0.858853193964168,0.863270450556601,0.745547068730232,0.886581484750104,0.870960250947076,0.901557851780239,0.818192128104311,0.766178276086478,0.762068713643197
"BldgDepth",0.94333967504183,0.968914110842571,0.850966802696593,0.914675434308079,0.946063406575868,0.918625480725882,0.94381358244852,0.962488779966651,0.954628572888373,0.970276729344328,0.948044385181591,0.852287807006757,0.797546732007503,0.961285822480359,0.973857747641757,0.883349990204816,0.907581913198518,0.799131909211823,1,0.955151134785768,0.967499255233362,0.987034914532281,0.97637963701732,0.864599481395587,0.95950746290147,0.978542192365887,0.964413669292716,0.944650814903359,0.9697113033348,0.965245623306267,0.938688163825635,0.693403125754307,0.644605652883738
"AssessLand",0.964682304348531,0.919708513529739,0.886433689028923,0.857376022042488,1,0.951921764692672,0.920189476709103,1,0.958412125203707,1,0.938587069769229,0.921490446819163,0.975260758742901,1,0.970297027360726,0.926830020853341,0.9053667625486,0.90014414651392,0.955151134785768,1,0.941308056181864,0.980676709084047,0.873033773490464,0.946468924411898,0.867206940534378,0.977480145177512,0.992302482790291,0.900534349811176,0.937466209282736,0.914996234356561,1,0.834796627318423,0.889054619639361
"AssessTot",0.950117267675868,0.953833422551664,0.87535711451968,0.909624580455089,0.868631851682476,0.920490885181454,0.925581404355431,0.957844296189269,0.952557097998301,0.946690275281748,0.951063030670233,0.885660760329931,0.953517018500973,0.899796025039376,0.962844524011302,0.929831114972872,0.920441284695551,0.901474323168305,0.967499255233362,0.941308056181864,1,0.953806885134749,0.953775626031212,0.964690953990801,0.974881159720232,0.960623702855084,0.960820229219832,0.939397300474058,0.959978265826608,0.944137308605185,1,0.806649871648876,0.825341039057093
