Easements,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR,XCoord,YCoord
1,6757,1872,1,2,1,1,58,121,56.83,24,10746,32881,1610,1610,1965,0.28,0.5,0,1,952131,160772
1,4284,2048,1,1,1,1,42,102,25,46,9600,30840,1610,1610,1965,0.48,0.5,0,1,952151,160636
1,4326,2048,1,1,1,1,42,103,25,46,9720,31200,1610,1610,1965,0.47,0.5,0,1,952146,160680
1,5800,2044,1,1,1,1,58,100,25,46,11940,32760,1610,1610,1965,0.35,0.5,0,1,952077,160906
1,3710,1668,1,2.5,1,1,100,87,22,27,10043,23560,0,0,1915,0.45,0.5,0,1,951977,160709
1,8899,1632,1,1,1,1,84,121,50.67,34.67,16920,33420,1610,1610,1960,0.18,0.5,0,1,951929,160767
1,15865,1844,1,2.5,1,1,95,167,37,22,17844,34026,1610,1610,1920,0.12,0.5,0,1,951887,160827
1,10020,2132,2,2,1,1,60,167,24,28,14710,32014,1610,1610,1915,0.21,0.5,0,1,951863,160875
1,6250,1200,1,2.5,1,1,50,125,20,30,11829,22338,11829,22338,1910,0.19,0.5,0,1,951315,161311
1,7000,0,0,0,0,0,70,100,0,0,8985,8985,0,0,0,0,0.6,0,1,950268,161567
1,11000,0,0,0,0,0,126,207,0,0,10368,10368,0,0,0,0,0.6,0,1,950281,161628
1,16240,3560,3,2,4,4,112,233,26,36,62568,65902,0,0,1931,0.22,0.6,0,1,950284,161724
1,61680,102640,1,8,1,1,227,240,130,71,405000,3877632,0,0,1972,1.66,0.6,0,1,950231,161030
1,118120,53771,2,2,0,2,520,257,51,170,1575000,4842900,0,0,1964,0.46,1.25,0,2,950466,160989
1,38480,65000,2,6,0,1,160.42,240,160,64,258750,2496042,0,0,1972,1.69,0.6,0,1,950236,160823
1,4000,960,1,1,1,1,40,100,24,40,12375,23210,1610,1610,1955,0.24,0.6,0,1,947208,161042
1,4500,1092,1,1,1,1,45,100,26,45,13249,24606,0,0,1955,0.24,0.6,0,1,947107,161038
1,3920,1482,1,2,1,1,40,98,30,26,16080,24480,1610,1610,1955,0.38,0.6,0,1,944515,160859
1,4280,2497,1,1,2,2,40,117,25,54,18000,29340,18000,18110,1980,0.58,0.6,0,1,944451,160898
1,2349,1216,1,2,1,1,29,81,16,38,12060,20580,6527,6527,1965,0.52,0.6,0,1,944415,160882
1,2328,1216,1,2,1,1,24,97,16,38,12060,20520,1610,1610,1965,0.52,0.6,0,1,944387,160886
1,2160,1216,1,2,1,1,24,90,16,38,11760,20100,11480,11480,1965,0.56,0.6,0,1,944360,160888
1,2392,1216,1,2,1,1,26,92,16,38,12120,20640,6770,6770,1965,0.51,0.6,0,1,944333,160888
2,11825,0,1,2,0,1,200,59,120,50,239400,2000700,0,0,1981,0,0.6,0,1,943528,161031
